Optical Power Monitor
6.1.4945.818
Delimiter Used: , ','

Start of Measurement , 5/18/2026 22:32:29
Sample Interval , 0.5 s
, PM 210715228
Type, PM100USB
Serialnumber, 1903149
Sensor, S154C
SensorSerialnumber, 210715228
Wavelength / Responsivity, 1550 nm

,,,PM 210715228, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 5/18/2026, 22:32:29.488,7.0765E-11
1, 5/18/2026, 22:32:30.408,1.3667E-07
2, 5/18/2026, 22:32:30.920,2.6892E-07
3, 5/18/2026, 22:32:30.960,2.6627E-07
4, 5/18/2026, 22:32:30.990,2.6831E-07
5, 5/18/2026, 22:32:31.021,2.611E-07
6, 5/18/2026, 22:32:31.546,2.6268E-07
7, 5/18/2026, 22:32:32.071,2.5227E-07
8, 5/18/2026, 22:32:32.596,2.5859E-07
9, 5/18/2026, 22:32:33.122,2.4729E-07
10, 5/18/2026, 22:32:33.647,2.5286E-07
11, 5/18/2026, 22:32:34.173,2.4988E-07
12, 5/18/2026, 22:32:34.699,2.5219E-07
13, 5/18/2026, 22:32:35.224,2.5316E-07
14, 5/18/2026, 22:32:35.750,2.5949E-07
15, 5/18/2026, 22:32:36.275,2.1148E-07
16, 5/18/2026, 22:32:36.800,1.8524E-10
17, 5/18/2026, 22:32:37.325,1.0337E-10
18, 5/18/2026, 22:32:37.851,8.9496E-11
19, 5/18/2026, 22:32:38.377,8.3944E-11
20, 5/18/2026, 22:32:38.901,8.6721E-11
21, 5/18/2026, 22:32:38.932,8.2558E-11
22, 5/18/2026, 22:32:38.963,7.0765E-11
23, 5/18/2026, 22:32:38.994,8.2558E-11
24, 5/18/2026, 22:32:39.025,8.2558E-11
25, 5/18/2026, 22:32:39.550,7.1456E-11
26, 5/18/2026, 22:32:40.075,7.0762E-11
27, 5/18/2026, 22:32:40.606,6.3129E-11
28, 5/18/2026, 22:32:41.135,6.5211E-11
29, 5/18/2026, 22:32:41.661,6.7987E-11
30, 5/18/2026, 22:32:42.185,1.161E-07
31, 5/18/2026, 22:32:42.711,2.5093E-07
32, 5/18/2026, 22:32:43.237,2.3497E-07
33, 5/18/2026, 22:32:43.762,2.6163E-07
34, 5/18/2026, 22:32:44.288,2.5675E-07
35, 5/18/2026, 22:32:44.813,2.543E-07
36, 5/18/2026, 22:32:45.339,2.5423E-07
37, 5/18/2026, 22:32:45.865,2.5196E-07
38, 5/18/2026, 22:32:46.390,2.4536E-07
39, 5/18/2026, 22:32:46.916,2.3081E-07
40, 5/18/2026, 22:32:46.947,2.0101E-07
41, 5/18/2026, 22:32:46.978,2.6471E-07
42, 5/18/2026, 22:32:47.009,2.6942E-07
43, 5/18/2026, 22:32:47.539,2.5105E-07
44, 5/18/2026, 22:32:48.068,2.5278E-07
45, 5/18/2026, 22:32:48.593,1.5479E-07
46, 5/18/2026, 22:32:49.119,1.4014E-10
47, 5/18/2026, 22:32:49.645,8.1864E-11
48, 5/18/2026, 22:32:50.170,7.3538E-11
49, 5/18/2026, 22:32:50.696,8.0476E-11
50, 5/18/2026, 22:32:51.221,6.9374E-11
51, 5/18/2026, 22:32:51.747,6.8682E-11
52, 5/18/2026, 22:32:52.274,6.5906E-11
53, 5/18/2026, 22:32:52.799,5.8274E-11
54, 5/18/2026, 22:32:53.330,6.2437E-11
55, 5/18/2026, 22:32:53.855,1.9826E-07
56, 5/18/2026, 22:32:54.381,2.0215E-07
57, 5/18/2026, 22:32:54.906,2.1138E-07
58, 5/18/2026, 22:32:54.937,2.4216E-07
59, 5/18/2026, 22:32:54.968,1.9335E-07
60, 5/18/2026, 22:32:54.999,1.9356E-07
61, 5/18/2026, 22:32:55.030,2.4966E-07
62, 5/18/2026, 22:32:55.556,2.194E-07
63, 5/18/2026, 22:32:56.081,2.2871E-07
64, 5/18/2026, 22:32:56.607,1.9236E-07
65, 5/18/2026, 22:32:57.133,2.1894E-07
66, 5/18/2026, 22:32:57.658,2.4615E-07
67, 5/18/2026, 22:32:58.184,2.5362E-07
68, 5/18/2026, 22:32:58.709,2.6156E-07
69, 5/18/2026, 22:32:59.235,2.5256E-07
70, 5/18/2026, 22:32:59.760,2.584E-07
